id,authors,year,title,venue
1921,"M. Tamer �zsu, Shu Lin, Raymond T. Ng, Vincent Oria",2001,An Extendible Hash for Multi-Precision Similarity Querying of Image Databases,VLDB
1922,"Junghoo Cho, Hector Garcia-Molina",2003,Effective page refresh policies for Web crawlers,ACM Trans. Database Syst.
1923,"Julian Kupiec, Jan O. Pedersen, Lynn Wilcox, Marti A. Hearst, Francine Chen",1994,Metadata for Mixed-Media Access,SIGMOD Record
1924,"Kenneth C. Sevcik, Nick Koudas",1996,Filter Trees for Managing Spatial Data over a Range of Size Granularities,VLDB
1925,?,1999,"The Active Database Central, ER2000, VLDB 2000, WISE 2000, Books, ACM DL",SIGMOD Record
1926,"Yossi Matias, Jeffrey Scott Vitter, Min Wang",2000,Dynamic Maintenance of Wavelet-Based Histograms,VLDB
1927,"Wei Fan, Sanghyun Park, Philip S. Yu, Haixun Wang",2003,ViST: A Dynamic Index Method for Querying XML Data by Tree Structures,SIGMOD Conference
1928,"Jen-Yao Chung, Asit Dan, Philip S. Yu",1995,Characterization of Database Access Pattern for Analytic Prediction of Buffer Hit Probability,VLDB J.
1929,"Ren�e J. Miller, C. T. Howard Ho, Lucian Popa, Ling-Ling Yan, Ronald Fagin, Mauricio A. Hern�ndez, Laura M. Haas",2001,The Clio Project: Managing Heterogeneity,SIGMOD Record
1930,"Hector Garcia-Molina, Luis Gravano",1997,Merging Ranks from Heterogeneous Internet Sources,VLDB
1931,"Hector Garcia-Molina, Sudarshan S. Chawathe",1997,Meaningful Change Detection in Structured Data,SIGMOD Conference
1932,"Minos N. Garofalakis, Johannes Gehrke",2002,Querying and Mining Data Streams: You Only Get One Look,VLDB
1933,"Daniela Florescu, Dan Suciu, Alon Y. Levy",1998,Is Web-site Management a Database Problem?,VLDB
1934,eva K�hn,2003,The Zero-Delay Data Warehouse: Mobilizing Heterogeneous Databases,VLDB
1935,"Paul W. P. J. Grefen, Heiko Ludwig",2000,Report in ISDO '00: The CAiSE*00 Workshop on Infrastructures for Dynamic Business-to-Business Service Outsourcinga,SIGMOD Record
1936,"Anh-Tuan Tran, Chuck Freiwald, Aravind Yalamanchi, Samuel DeFazio, Souripriya Das, Ramkumar Krishnan, Jagannathan Srinivasan, Mahesh Jagannath, Eugene Inseok Chong, Jayanta Banerjee",2000,Oracle8i Index-Organized Table and Its Application to New Domains,VLDB
1937,"Peter M. G. Apers, Hennie J. Steenhagen, Henk M. Blanken, Rolf A. de By",1994,From Nested-Loop to Join Queries in OODB,VLDB
1938,"J�r�me Sim�on, Vassilis Christophides, Sophie Cluet",2000,On Wrapping Query Languages and Efficient XML Integration,SIGMOD Conference
1939,"Peter Sawyer, Awais Rashid",2000,Object Database Evolution Using Separation of Concerns,SIGMOD Record
1940,Harald Sch�ning,2003,Commercial Use of Database Technology,VLDB
1941,"Gottfried Vossen, Richard McClatchey",1997,Workshop on Workflow Management in Scientific and Engineering Applications - Report,SIGMOD Record
1942,"Henry F. Korth, Gregory D. Speegle",1994,Formal Aspects of Concurrency Control in Long-Duration Transaction Systems Using the NT/PV Model,ACM Trans. Database Syst.
1943,"Bj�rn ��r J�nsson, Divesh Srivastava, Michael J. Franklin",1998,Interaction of Query Evaluation and Buffer Management for Information Retrieval,SIGMOD Conference
1944,"Luis Gravano, Surajit Chaudhuri",1999,Evaluating Top-k Selection Queries,VLDB
1945,"Dieter Fensel, Alexander Maedche, Christoph Bussler",2002,A Conceptual Architecture for Semantic Web Enabled Web Services,SIGMOD Record
1946,?,1995,"Title, Preface to the Special Issue on Persistent Object Systems",VLDB J.
1947,"Christian B�hm, Hans-Peter Kriegel, Stefan Berchtold",1998,The Pyramid-Technique: Towards Breaking the Curse of Dimensionality,SIGMOD Conference
1948,"German Shegalov, Gerhard Weikum, Wolfgang Wonner, Michael Gillmann, Jeanine Wei�enfels",2000,A Goal-driven Auto-Configuration Tool for the Distributed Workflow Management System Mentor-lite,SIGMOD Conference
1949,"Lipyeow Lim, Ronald Parr, Jeffrey Scott Vitter, Sriram Padmanabhan, Min Wang",2002,XPathLearner: An On-line Self-Tuning Markov Histogram for XML Path Selectivity Estimation,VLDB
1950,"Sunita Sarawagi, Ashish Gupta, Rakesh Agrawal, Prasad Deshpande, Jeffrey F. Naughton, Sameet Agarwal, Raghu Ramakrishnan",1996,On the Computation of Multidimensional Aggregates,VLDB
1951,"Holger Meinecke, Uwe Heinkel, Ralf Rantzau, Carmen Constantinescu",2002,Champagne: Data Change Propagation for Heterogeneous Information Systems,VLDB
1952,"Pradeep Shenoy, Xin Dong, Henry F. Korth, Philip Bohannon, P. P. S. Narayan, Chengkai Li, Sumit Ganguly",2003,ROLEX: Relational On-Line Exchange with XML,SIGMOD Conference
1953,"Arvind Hulgeri, S. Sudarshan",2003,AniPQO: Almost Non-intrusive Parametric Query Optimization for Nonlinear Cost Functions,VLDB
1954,"Thomas St�hr, Erhard Rahm",2001,WARLOCK: A Data Allocation Tool for Parallel Warehouses,VLDB
1955,Michael J. Franklin,1999,Editor's Notes,SIGMOD Record
1956,"Ramakrishnan Srikant, Balakrishna R. Iyer, Christos Faloutsos, Arun N. Swami, H. Miranda, Sakti P. Ghosh, A. Mahboob, Maurice A. W. Houtsma, Michael J. Carey, Tomasz Imielinski, Rakesh Agrawal",1994,Quest: A Project on Database Mining,SIGMOD Conference
1957,"Sangyong Hwang, Kihong Kim, Sang Kyun Cha, Keunjoo Kwon",2001,Cache-Conscious Concurrency Control of Main-Memory Indexes on Shared-Memory Multiprocessor Systems,VLDB
1958,"Laura M. Haas, Ren�e J. Miller, Mauricio A. Hern�ndez",2001,Clio: A Semi-Automatic Tool For Schema Mapping,SIGMOD Conference
1959,"Bruce Hillyer, Abraham Silberschatz",1996,Random I/O Scheduling in Online Tertiary Storage Systems,SIGMOD Conference
1960,"Carl Medsker, Margaret Christensen, Il-Yeol Song",1995,A Comparison of Three User Interfaces to Relational Microcomputer Data Bases,SIGMOD Record
1961,"Dan Cosley, Steve Lawrence, David M. Pennock",2002,REFEREE: An Open Framework for Practical Testing of Recommender Systems using ResearchIndex,VLDB
1962,"Dennis Shasha, Radu Preotiuc-Pietro, Jo�o Pereira, Kenneth A. Ross, Fran�ois Llirbat, Fran�oise Fabret",2000,Publish/Subscribe on the Web at Extreme Speed,VLDB
1963,"Georg Gottlob, Christoph Koch, Reinhard Pichler",2003,XPath Processing in a Nutshell,SIGMOD Record
1964,"Klaus R. Dittrich, Stella Gatziu, Andreas Geppert",1995,The SAMOS Active DBMS Prototype,SIGMOD Conference
1965,"Nick Bassiliades, Ioannis P. Vlahavas",1995,A Non-Uniform Data Fragmentation Strategy for Parallel Main-Menory Database Systems,VLDB
1966,Adam Bosworth,2003,The Future of Web Services - I,SIGMOD Conference
1967,"K. Sel�uk Candan, Yoshinori Hara, Kyoji Hirata, Wen-Syan Li",2001,Supporting efficient multimedia database exploration,VLDB J.
1968,"Mary F. Fernandez, Peter Buneman, Dan Suciu",2000,UnQL: A Query Language and Algebra for Semistructured Data Based on Structural Recursion,VLDB J.
1969,"Holger M�rtens, Erhard Rahm, Thomas St�hr",2000,Multi-Dimensional Database Allocation for Parallel Data Warehouses,VLDB
1970,"Arne Koschel, Ralf Kramer, Ralf Nikolai, Peter C. Lockemann, Mechtild Wallrath, Ulrike K�lsch, Hans-Dirk Walter",1997,"The Network as a Global Database: Challenges of Interoperability, Proactivity, Interactiveness, Legacy",VLDB
1971,"Amir Netz, Surajit Chaudhuri, Jeff Bernhardt, Usama M. Fayyad",2000,Integration of Data Mining with Database Technology,VLDB
1972,Sergio Greco,1998,Binding Propagation in Disjunctive Databases,VLDB
1973,"St�phane Grumbach, Philippe Rigaux, Luc Segoufin",2000,Manipulating Interpolated Data is Easier than You Thought,VLDB
1974,"Yu Yin, Raymond T. Ng, Alan S. Wagner",2001,Iceberg-cube computation with PC clusters,SIGMOD Conference
1975,"Hector Garcia-Molina, Wilburt Labio, Yingwei Cui, Jennifer Widom, Jun Yang",2000,Performance Issues in Incremental Warehouse Maintenance,VLDB
1976,Richard T. Snodgrass,1997,Chair's Message,SIGMOD Record
1977,Oliver G�nther,1997,Environment Information Systems - Guest Editor's Foreword,SIGMOD Record
1978,"Calton Pu, Jonathan Walpole, Karsten Schwan",2001,Infosphere Project: System Support for Information Flow Applications,SIGMOD Record
1979,"Ji-Rong Wen, Qing Li, Wei-Ying Ma, HongJiang Zhang",2003,A Multi-paradigm Querying Approach for a Generic Multimedia Database Management System,SIGMOD Record
1980,"Jennifer Widom, Jason McHugh",1997,Integrating Dynamically-Fetched External Information into a DBMS for Semistructured Data,SIGMOD Record
1981,"Peter Scheuermann, Radek Vingralek, Junho Shim",1996,WATCHMAN : A Data Warehouse Intelligent Cache Manager,VLDB
1982,"Kaushik Dutta, Debra E. VanderMeer, Krithi Ramamritham, Anindya Datta, Shamkant B. Navathe",2001,An architecture to support scalable online personalization on the Web,VLDB J.
1983,"Stefano Ceri, Stefano Paraboschi, Angela Bonifati",2001,Active rules for XML: A new paradigm for E-services,VLDB J.
1984,Leonard Gallagher,1994,Influencing Database Language Standards,SIGMOD Record
1985,Keishi Tajima,1996,Static Detection of Security Flaws in Object-Oriented Databases,SIGMOD Conference
1986,"Philip S. Yu, Kun-Lung Wu",2000,Report on Second International Workshop on Advanced Issues of E-Commerce and Web-based Information Systems,SIGMOD Record
1987,"Jef Wijsen, Toon Calders, Raymond T. Ng",2002,Searching for dependencies at multiple abstraction levels,ACM Trans. Database Syst.
1988,"Anand Deshpande, Shridhar Shukla",2000,Tutorial: LDAP Directory Services - Just Another Database Application?,SIGMOD Conference
1989,H. V. Jagadish,1994,Databases for Networks,SIGMOD Conference
1990,"K. Ong, Christine Tomlinson, Darrell Woelk, C. Unnikrishnan, William Bohrer, Nigel Jacobs",1995,Carnot and InfoSleuth: Database Technology and the World Wide Web,SIGMOD Conference
1991,"Benjamin Nguyen, Iraklis Varlamis, Maria Halkidi, Michalis Vazirgiannis",2003,THESUS: Organizing Web document collections based on link semantics,VLDB J.
1992,David B. Lomet,1998,B-tree Page Size When Caching is Considered,SIGMOD Record
1993,"Venky Harinarayan, Dallan Quass, Ashish Gupta",1995,Aggregate-Query Processing in Data Warehousing Environments,VLDB
1994,"Luis Gravano, Hector Garcia-Molina",1995,Generalizing GlOSS to Vector-Space Databases and Broker Hierarchies,VLDB
1995,Vernon Hoffner,2003,Fundamentals of data warehouses: 2nd revised and extended edition,SIGMOD Record
1996,"Jennifer Widom, Mayur Datar, Shivnath Babu, Justin Rosenstein, Itaru Nishizawa, Arvind Arasu, Keith Ito, Brian Babcock",2003,STREAM: The Stanford Stream Data Manager,SIGMOD Conference
1997,Chaitanya K. Baru,1996,Performance of Future Database Systems: Bottlenecks and Bonananzas,VLDB
1998,"Weipeng P. Yan, Per-�ke Larson",1995,Eager Aggregation and Lazy Aggregation,VLDB
1999,"Veda C. Storey, Yair Wand, Ron Weber",1999,An Ontological Analysis of the Relationship Construct in Conceptual Modeling,ACM Trans. Database Syst.
2000,"Surajit Chaudhuri, Shahram Ghandeharizadeh, Cyrus Shahabi",1995,Retrieval of Composite Multimedia Objects,VLDB
2001,"Helen M. Thomas, Krithi Ramamritham, Anindya Datta",1999,Curio: A Novel Solution for Efficient Storage and Indexing in Data Warehouses,VLDB
2002,"Mary Tork Roth, Laura M. Haas, Fatma Ozcan",1999,Cost Models DO Matter: Providing Cost Information for Diverse Data Sources in a Federated System,VLDB
2003,"Philip A. Bernstein, David Shutt, Shankar Pal",1999,Context-Based Prefetch for Implementing Objects on Relations,VLDB
2004,Bill Rosneblatt,1994,Unix RDBMS: The Next Generation,SIGMOD Record
2005,Sunil Choenni,2000,Design and Implementation of a Genetic-Based Algorithm for Data Mining,VLDB
2006,"Stanley M. T. Yau, Antonio Si, Dennis McLeod, Hong Va Leong",1999,On Multi-Resolution Document Transmission in Mobile Web,SIGMOD Record
2007,"Davood Rafiei, Alberto O. Mendelzon",2002,Efficient retrieval of similar shapes,VLDB J.
2008,"Claudio Sartori, Sonia Bergamaschi, Domenico Beneventano",2003,Description logics for semantic query optimization in object-oriented database systems,ACM Trans. Database Syst.
2009,"Raymond T. Ng, Divesh Srivastava, H. V. Jagadish, Olga Kapitskaia",2000,One-dimensional and multi-dimensional substring selectivity estimation,VLDB J.
2010,"Pedro Jos� Marr�n, Georg Lausen",2001,On Processing XML in LDAP,VLDB
2011,"Vladislav Shkapenyuk, Tamraparni Dasu, S. Muthukrishnan, Theodore Johnson",2002,"Mining database structure; or, how to build a data quality browser",SIGMOD Conference
2012,"Tei-Wei Kuo, Aloysius K. Mok",1996,Real-Time Database - Similarity Semantics and Resource Scheduling,SIGMOD Record
2013,"Vasilis Vassalos, Janet L. Wiener, Michael Rys, Serge Abiteboul, Jason McHugh",1998,Incremental Maintenance for Materialized Views over Semistructured Data,VLDB
2014,"Bernd Burkert, Yaron Engel, Ralf B�ttger, Gerd Kachel, Elke Radeke, Silvia Kolmschlag, Dietmar Nolte",1995,Efendi: Federated Database System of Cadlab,SIGMOD Conference
2015,Rafael Alonso,1994,Trade Press News,SIGMOD Record
2016,"Stefan Manegold, Martin L. Kersten, Peter A. Boncz",2000,What Happens During a Join? Dissecting CPU and Memory Optimization Effects,VLDB
2017,"Jutai Zhou, Ouri Wolfson, Sam Chamberlain, A. Prasad Sistla, Bo Xu",1999,DOMINO: Databases fOr MovINg Objects tracking,SIGMOD Conference
2018,"Paul Ammann, Indrakshi Ray, Sushil Jajodia",1997,Applying Formal Methods to Semantic-Based Decomposition of Transactions,ACM Trans. Database Syst.
2019,Akmal B. Chaudhri,1998,Workshop Report on Experiences Using Object Data Management in the Real-World,SIGMOD Record
2020,"Karthikeyan Ramasamy, Jeffrey F. Naughton, Jignesh M. Patel, Raghav Kaushik",2000,"Set Containment Joins: The Good, The Bad and The Ugly",VLDB
2021,"Bennet Vance, David Maier",1996,Rapid Bushy Join-order Optimization with Cartesian Products,SIGMOD Conference
2022,"Sridhar Ramaswamy, Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala",1999,The Aqua Approximate Query Answering System,SIGMOD Conference
2023,Donald D. Chamberlin,2003,2003 SIGMOD Innovations Award Speech,SIGMOD Record
2024,"Roy Goldman, Jennifer Widom",2000,WSQ/DSQ: A Practical Approach for Combined Querying of Databases and the Web,SIGMOD Conference
2025,"Dimitris Margaritis, Christos Faloutsos, Sebastian Thrun",2001,NetCube: A Scalable Tool for Fast Data Mining and Compression,VLDB
2026,"Koichi Goto, Yahiko Kambayashi",2002,A New Passenger Support System for Public Transport using Mobile Database Access,VLDB
2027,"Masaru Kitsuregawa, Kazuhiko Mogi",1996,Hot Mirroring: A Study to Hide Parity Upgrade Penalty and Degradations During Rebuilds for RAID5,SIGMOD Conference
2028,"Jo�o B. D. Cabrera, Raman K. Mehra, Lundy M. Lewis",2001,Detection and Classification of Intrusions and Faults using Sequences of System Calls,SIGMOD Record
2029,"Xuemin Lin, Qing Liu, Yidong Yuan, Xiaofang Zhou",2003,Multiscale Histograms: Summarizing Topological Relations in Large Spatial Datasets,VLDB
2030,"Qiang Wang, Brian D. Davison",2003,Review of Web caching and replication by Michael Rabinovich and Oliver Spatscheck. Addison Wesley 2002,SIGMOD Record
2031,"Jingren Zhou, Kenneth A. Ross",2003,Buffering Accesses to Memory-Resident Index Structures,VLDB
2032,"King-Ip Lin, Harpreet S. Sawhney, Rakesh Agrawal, Kyuseok Shim",1995,"Fast Similarity Search in the Presence of Noise, Scaling, and Translation in Time-Series Databases",VLDB
2033,"Abraham Silberschatz, Christos Faloutsos, Yossi Matias",1996,Modeling Skewed Distribution Using Multifractals and the `80-20' Law,VLDB
2034,"Cui Yu, Kian-Lee Tan, Beng Chin Ooi, H. V. Jagadish",2001,Indexing the Distance: An Efficient Method to KNN Processing,VLDB
2035,"Tomasz Imielinski, Daniel Barbar�",1995,Sleepers and Workaholics: Caching Strategies in Mobile Environments,VLDB J.
2036,"Hans-Peter Kriegel, Stefan Berchtold",1997,S3: Similarity Search in CAD Database Systems,SIGMOD Conference
2037,"Piyush Goel, Balakrishna R. Iyer",1996,SQL Query Optimization: Reordering for a General Class of Queries,SIGMOD Conference
2038,"Jan-Dirk Becker, Matthias Jarke, Andreas Boehmer, Elvira Schaefer",2000,Controlling Data Warehouses with Knowledge Networks,VLDB
2039,"H. V. Jagadish, Ting Yu, Divesh Srivastava, Sudipto Guha, Nick Koudas",2002,Approximate XML joins,SIGMOD Conference
2040,"Minos N. Garofalakis, Neoklis Polyzotis",2002,Statistical synopses for graph-structured XML databases,SIGMOD Conference
2041,Marianne Winslett,2003,Interview with Michael Stonebraker,SIGMOD Record
2042,"Thomas Eiter, V. S. Subrahmanian, Thomas Lukasiewicz, James J. Lu",2001,Probabilistic object bases,ACM Trans. Database Syst.
2043,"Daniel Barbar�, Tomasz Imielinski",1994,Sleepers and Workaholics: Caching Strategies in Mobile Environments,SIGMOD Conference
2044,Larry Ellison,1995,Keynote Address,SIGMOD Conference
2045,"Barbara Pernici, Massimo Mecella",2001,Designing wrapper components for e-services in integrating heterogeneous systems,VLDB J.
2046,Edward Sciore,1994,Versioning and Configuration Management in an Object-Oriented Data Model,VLDB J.
2047,"Anthony Brockwell, Spiros Papadimitriou, Christos Faloutsos",2003,"Adaptive, Hands-Off Stream Mining",VLDB
2048,"Christian A. Lang, Ambuj K. Singh",2001,Modeling High-Dimensional Index Structures using Sampling,SIGMOD Conference
2049,C. Mohan,1999,Repeating History Beyond ARIES,VLDB
2050,"Felipe Cari�o, Pekka Kostamaa, Art Kaufmann, John Burgess",2001,"StorHouse Metanoia - New Applications for Database, Storage & Data Warehousing",SIGMOD Conference
2051,"Alex Pang, Jiawei Han, Raymond T. Ng, Laks V. S. Lakshmanan",1998,Exploratory Mining and Pruning Optimizations of Constrained Association Rules,SIGMOD Conference
2052,"Klaudia Hergula, Fernando de Ferreira Rezende",1998,The Heterogeneity Problem and Middleware Technology: Experiences with and Performance of Database Gateways,VLDB
2053,Krishna G. Kulkarni,1994,Object-Oriented Extensions in SQL3: A Status Report,SIGMOD Conference
2054,Viswanathan Krishnamurthy,2003,Oracle XML DB Repository,SIGMOD Conference
2055,Gerhard Weikum,2002,Foundations of Statistical Natural Language Processing - Book Review,SIGMOD Record
2056,"Waqar Hasan, Rajeev Motwani",1994,Optimization Algorithms for Exploiting the Parallelism-Communication Tradeoff in Pipelined Parallelism,VLDB
2057,"Aashu Virmani, Tomasz Imielinski",1995,DataMine - Interactive Rule Discovery System,SIGMOD Conference
2058,"Khaled Yagoub, Patrick Valduriez, Val�rie Issarny, Daniela Florescu",2000,Caching Strategies for Data-Intensive Web Sites,VLDB
2059,"Ion Stoica, Nick Lanham, Scott Shenker, Joseph M. Hellerstein, Boon Thau Loo, Ryan Huebsch",2003,Querying the Internet with PIER,VLDB
2060,"Hamid Pirahesh, Christof Bornh�vd, Berthold Reinwald, Sailesh Krishnamurthy, Mehmet Altinel, C. Mohan",2003,Cache Tables: Paving the Way for an Adaptive Database Cache,VLDB
2061,"Inderpal Singh Mumick, Ashish Gupta",1996,What is the Data Warehousing Problem? (Are Materialized Views the Answer?),VLDB
2062,"Jeffrey Xu Yu, Weifa Liang, Maria E. Orlowska",2000,Optimizing Multiple Dimensional Queries Simultaneously in Multidimensional Databases,VLDB J.
2063,"Ling Liu, Robert Meersman",1996,The Building Blocks for Specifying Communication Behavior of Complex Objects: An Activity-Driven Approach,ACM Trans. Database Syst.
2064,?,1994,Calls for Papers / Announcements,SIGMOD Record
2065,"Yiu-Kai Ng, Y. S. Jiang, David W. Embley",1999,Record-Boundary Discovery in Web Documents,SIGMOD Conference
2066,"Ouri Wolfson, Kailash Narayanan, Son Dao, Ramya Raj, A. Prasad Sistla",1995,View Maintenance in Mobile Computing,SIGMOD Record
2067,"Nick Roussopoulos, Alexandros Labrinidis",2003,Balancing Performance and Data Freshness in Web Database Servers,VLDB
2068,"Jayant R. Haritsa, Juliana Freire, Maya Ramanath, Prasan Roy, J�r�me Sim�on",2002,StatiX: making XML count,SIGMOD Conference
2069,"Christian S. Jensen, David B. Lomet",2001,Transaction Timestamping in (Temporal) Databases,VLDB
2070,"Igor Timko, Torben Bach Pedersen, Christian Hage, Christian S. Jensen, Laurynas Speicys",2003,Integrated Data Management for Mobile Services in the Real World,VLDB
2071,"Markus Schneider, Ralf Hartmut G�ting",1995,Realm-Based Spatial Data Types: The ROSE Algebra,VLDB J.
2072,"David Wai-Lok Cheung, Ada Wai-Chee Fu",1994,A Transaction Replication Scheme for a Replicated Database with Node Autonomy,VLDB
2073,Aris M. Ouksel,2003,In-context peer-to-peer information filtering on the Web,SIGMOD Record
2074,"Raghu Ramakrishnan, S. Sudarshan, Divesh Srivastava, Praveen Seshadri",1994,The CORAL Deductive System,VLDB J.
2075,"Alan Sussman, Anurag Acharya, Joel H. Saltz, Chialin Chang",1998,T2: A Customizable Parallel Database for Multi-Dimensional Data,SIGMOD Record
2076,"Ren�e J. Miller, Anastasios Kementsietsidis, Marcelo Arenas",2003,Mapping Data in Peer-to-Peer Systems: Semantics and Algorithmic Issues,SIGMOD Conference
2077,Garth A. Gibson,1995,Storage Technology: RAID and Beyond,SIGMOD Conference
2078,"Arnon Rosenthal, Edward Sciore",1999,First-Class Views: A Key to User-Centered Computing,SIGMOD Record
2079,HyoungDo Kim,2002,Conceptual Modeling and Specification Generation for B2B Business Process based on ebXML,SIGMOD Record
2080,"Shing-Shan Peng, Kwei-Jay Lin",1996,Enhancing External Consistency in Real-Time Transactions,SIGMOD Record
2081,"Thierry Coupaye, T. Svensen, Christine Collet",1994,NAOS - Efficient and Modular Reactive Capabilities in an Object-Oriented Database System,VLDB
2082,Arnaud Sahuguet,2001,Kweelt: More than just yet another framework to query XML!,SIGMOD Conference
2083,"Elizabeth A. M. Shriver, Bruce Hillyer, Wee Teck Ng, Banu �zden, Eran Gabber, David J. DeWitt, John Wilkes, Jim Gray, Bruce Gordon",2001,Storage Service Providers: a Solution for Storage Management? (Panel),VLDB
2084,"Mark Deppe, Yongdong Wang, Alex Gorelik",1994,Sybase Replication Server,SIGMOD Conference
2085,"Angelo Pruscino, Rafiul Ahad, Roger Bamford",1999,A Scalable and Highly Available Networked Database Architecture,VLDB
2086,"Robert J. Glushko, Bart Meltzer",1998,XML and Electronic Commerce: Enabling the Network Economy,SIGMOD Record
2087,"Maurizio Rafanelli, Elaheh Pourabbas",2000,Hierarchies and Relative Operators in the OLAP Environment,SIGMOD Record
2088,"Benjamin G. Zorn, Alexander L. Wolf, Jonathan E. Cook",1994,Partition Selection Policies in Object Database Garbage Collection,SIGMOD Conference
2089,"J�rg-Uwe Kietz, Ulrich Reimer, Martin Staudt",1997,Mining Insurance Data at Swiss Life,VLDB
2090,"J�rg Sander, Hans-Peter Kriegel, Peer Kr�ger, Markus M. Breunig",2001,Data Bubbles: Quality Preserving Performance Boosting for Hierarchical Clustering,SIGMOD Conference
2091,"Peter Dadam, Wolfgang Klas",1997,The Database and Information System Research Group at the University of Ulm,SIGMOD Record
2092,"Sudarshan S. Chawathe, Feng Peng",2003,XPath Queries on Streaming Data,SIGMOD Conference
2093,Michael Ley,2000,SIGMOD Anthology Editor's Message,SIGMOD Record
2094,Weidong Chen,1995,Query Evaluation in Deductive Databases with Alternating Fixpoint Semantics,ACM Trans. Database Syst.
2095,"Sibel Adali, Yannis Papakonstantinou, K. Sel�uk Candan, V. S. Subrahmanian",1996,Query Caching and Optimization in Distributed Mediator Systems,SIGMOD Conference
2096,"David J. DeWitt, Manish Mehta",1995,Managing Intra-operator Parallelism in Parallel Database Systems,VLDB
2097,"Hanan Samet, Ken Smith, Glenn S. Iwerks",2003,Continuous K-Nearest Neighbor Queries for Continuously Moving Points with Updates,VLDB
2098,"Michael J. Wynblatt, Julio C. Navas",2001,The Network is the Database: Data Management for Highly Distributed Systems,SIGMOD Conference
2099,"Robert Meersman, Amit P. Sheth",2002,Amicalola Report: Database and Information System Research Challenges and Opportunities in Semantic Web and Enterprises,SIGMOD Record
2100,"Nathan Goodman, Steve Rozen, Lincoln Stein",1994,Building a Laboratory Information System Around a C++-Based Object-Oriented DBMS,VLDB
2101,"Bj�rn Blohsfeld, Jens-Peter Dittrich, Martin Schneider, Bernhard Seeger, Tobias Sch�fer, Jochen Van den Bercken, J�rgen Kr�mer",2001,XXL - A Library Approach to Supporting Efficient Implementations of Advanced Database Queries,VLDB
2102,"Tore Risch, Ling Lin",1998,Querying Continuous Time Sequences,VLDB
2103,"Philip J. Harding, Bongki Moon, Quanzhong Li",2003,XISS/R: XML Indexing and Storage System using RDBMS,VLDB
2104,"Nelson Mendon�a Mattos, Serge Rielau, Bruce G. Lindsay, Stefan De�loch, You-Chin Fuh, Brian T. Tran, Danko Mannhaupt, Linda DeMichel, Weidong Chen",1999,Implementation of SQL3 Structured Types with Inheritance and Value Substitutability,VLDB
2105,Torsten Grust,2002,Accelerating XPath location steps,SIGMOD Conference
2106,"Christoph Kilger, Guido Moerkotte",1994,Indexing Multiple Sets,VLDB
2107,"Patrick E. O'Neil, Dallan Quass",1997,Improved Query Performance with Variant Indexes,SIGMOD Conference
2108,George Colliat,1996,"OLAP, Relational, and Multidimensional Database Systems",SIGMOD Record
2109,"Andrea Zisman, V. W. Setzer",1994,New Concurrency Control Algorithms for Accessing and Compacting B-Trees,VLDB
2110,"Nick Roussopoulos, Alexandros Labrinidis",2001,Update Propagation Strategies for Improving the Quality of Data on the Web,VLDB
2111,Alberto O. Mendelzon,2000,Information Director's Message,SIGMOD Record
2112,"Raghu Ramakrishnan, Shaul Dar",1994,A Performance Study of Transitive Closure Algorithms,SIGMOD Conference
2113,Avigdor Gal,2000,"Data Management in eCommerce: The Good, the Bad, and the Ugly",SIGMOD Conference
2114,"Berthold Reinwald, Jayavel Shanmugasundaram, Michael J. Carey, Eugene J. Shekita, Hamid Pirahesh, Bruce G. Lindsay, Rimon Barr",2000,Efficiently Publishing Relational Data as XML Documents,VLDB
2115,"Michael Jaedicke, Bernhard Mitschang",1998,On Parallel Processing of Aggregate and Scalar Functions in Object-Relational DBMS,SIGMOD Conference
2116,"N. Winterbottom, S. J. O'Connell",2003,Performing Jobs without Decompression in a Compressed Database System,SIGMOD Record
2117,Doug Stacey,1995,"Replication: DB2, Oracle, or Sybase?",SIGMOD Record
2118,"Jochen Van den Bercken, Bernhard Seeger",1996,Query Processing Techniques for Multiversion Access Methods,VLDB
2119,"S. Sudarshan, Prasan Roy, Abraham Silberschatz, S. Seshadri, Srinivas Ashwin",1997,Garbage Collection in Object Oriented Databases Using Transactional Cyclic Reference Counting,VLDB
2120,"Henry F. Korth, Stephen Blott, Abraham Silberschatz",1998,"Information, Communication, and Money: For What Can We Charge and How Can We Meter It?",VLDB
2121,"M. Tamer �zsu, Randal J. Peters",1997,An Axiomatic Model of Dynamic Schema Evolution in Objectbase Systems,ACM Trans. Database Syst.
2122,"Laurent Dayn�s, Grzegorz Czajkowski",2002,Lightweight Flexible Isolation for Language-based Extensible Systems,VLDB
2123,"Mathias Weske, Gottfried Vossen",1999,The WASA2 Object-Oriented Workflow Management System,SIGMOD Conference
2124,"Felipe Cari�o, William O'Connell",1998,Plan-Per-Tuple Optimization Solution - Parallel Execution of Expensive User-Defined Functions,VLDB
2125,"Shu-Yao Chien, Carlo Zaniolo, Vassilis J. Tsotras",2002,Efficient schemes for managing multiversionXML documents,VLDB J.
2126,"Laurent Mignet, Serge Abiteboul, Tova Milo, Adi Eyal, Bernd Amann, Sophie Cluet",1999,Active Views for Electronic Commerce,VLDB
2127,"Gargi Sur, Mary F. Fernandez, Am�lie Marian, J�r�me Sim�on, Byron Choi",2003,Implementing Xquery 1.0: The Galax Experience,VLDB
